created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Sat Feb 03 11:40:00 +0000 2024;1753745145277624656;"Pria diduga pelaku pelecehan seksual melompat ke Wadung Borong, Makassar, Sulawesi Selatan (Sulsel) untuk menghindari amukan massa.  https://t.co/P4w5y19Ww4";0;1;0;1;in;69183155;1753745145277624656;detikcom;https://twitter.com/detikcom/status/1753745145277624656
Sat Feb 03 11:30:00 +0000 2024;1753742628573565384;"Pria diduga pelaku pelecehan seksual melompat ke Wadung Borong, Makassar, Sulawesi Selatan (Sulsel) untuk menghindari amukan massa.  https://t.co/dSvLANVVuJ";0;2;1;1;in;69183155;1753742628573565384;detikcom;https://twitter.com/detikcom/status/1753742628573565384
Sun Jan 07 07:24:13 +0000 2024;1743896302885511241;"Direktorat Reserse Kriminal Umum (Ditreskrimum) Kepolisian Daerah Sulawesi Selatan (Sulsel) telah menetapkan Briptu S sebagai tersangka dalam kasus dugaan pelecehan seksual yang dilakukannya terhadap tahanan wanita.   https://t.co/XMbtEQrXfP";0;0;0;0;in;64635651;1743896302885511241;serambinews;https://twitter.com/serambinews/status/1743896302885511241
Wed Nov 15 07:15:41 +0000 2023;1724687600152367231;"Mahasiswa di Sulawesi Selatan ditangkap oleh polisi usai terbukti melakukan pelecehan seksual terhadap temannya saat kuliah kerja nyata (KKN)  selengkapnya klik  https://t.co/4nKyWnzowx";0;0;0;0;in;1273449860507725825;1724687600152367231;mitrapost_;https://twitter.com/mitrapost_/status/1724687600152367231
Wed Nov 15 05:00:39 +0000 2023;1724653615883984899;"Mengaku khilaf dengan perbuatan terlarangnya tersebut.  M(19) melakukan pelecehan seksual terhadap kerabatnya yaitu DA(18), ketika sedang melaksanakan kegiatan KKN di Kabupaten Maros, Sulawesi Selatan.";0;1;1;1;in;1714125386588602368;1724653613585445311;interaksi_id;https://twitter.com/interaksi_id/status/1724653615883984899
Tue Nov 14 10:49:17 +0000 2023;1724378964133904772;"Warga mengepung salah satu rumah warga yang dijadikan tempat persembunyian pelaku pelecehan seksual anak di bawah umur di Makassar, Sulawesi Selatan. NNN  Selengkapnya: https://t.co/BFP6YsrNFW   #SeputariNews #SeputariNewsSiang #Makassar  #PelecehanSeksual #SulawesiSelatan https://t.co/WxraG8FsZu";0;0;0;0;in;375995332;1724378964133904772;SeputariNews;https://twitter.com/SeputariNews/status/1724378964133904772
Wed Nov 01 05:23:48 +0000 2023;1719586013188948083;"- Kasus anak di bawah umur jadi korban tindakan asusila kembali terjadi.  Kali ini, seorang siswi SMP di Makassar, Sulawesi Selatan, yang masih berusia 14 tahun jadi korban pelecehan seksual yang dilakukan oleh IP (27).  https://t.co/D3OD5EYzVr";0;0;0;0;in;64635651;1719586013188948083;serambinews;https://twitter.com/serambinews/status/1719586013188948083
Sun Oct 22 11:11:43 +0000 2023;1716049688418517427;"Di antara kaligrafi Arab yang terpampang cantik, informasi pencegahan pelecehan dan eksploitasi seksual memenuhi majalah dinding di koridor madrasah dan asrama Pondok Pesantren Sultan Hasanuddin (Sulhas), Gowa, Sulawesi Selatan. https://t.co/E36WK5rSQk";0;1;1;4;in;65604255;1716049688418517427;UNICEFIndonesia;https://twitter.com/UNICEFIndonesia/status/1716049688418517427
Wed Oct 18 13:21:15 +0000 2023;1714632737460785397;"Anggota Polri berinisial Bripda FA (23) terancam dipecat karena dugaan pelecehan seksual terhadap wanita berinisial M, di Makassar, Sulawesi Selatan.  https://t.co/Nlf4Fcaixt";0;1;0;4;in;18071520;1714632737460785397;antaranews;https://twitter.com/antaranews/status/1714632737460785397
Thu Sep 14 10:31:28 +0000 2023;1702268823737696380;"💚 Hi! Aku butuh 20 responden lagi, mohon bantuannya ya! Kriterianya perempuan, domisili Sulawesi Selatan dan pernah mengalami pelecehan/kekerasan seksual (catcalling, isyarat bersifat seksual, dll). Link d reply TIA";0;3;1;0;in;1371650588;1702268823737696380;tanyarlfes;https://twitter.com/tanyarlfes/status/1702268823737696380
Thu Sep 07 09:03:27 +0000 2023;1699709957539840486;"Seorang tahanan perempuan di Polda Sulawesi Selatan (Sulsel) berinisial FB diduga mengalami pelecehan seksual oleh oknum polisi berpangkat Bripka dengan inisial SA. https://t.co/dh1CXuEsq6";0;1;0;0;in;1608725343850082305;1699709957539840486;baperanewscom;https://twitter.com/baperanewscom/status/1699709957539840486
Wed Aug 30 10:24:00 +0000 2023;1696831124025049335;"Oknum ASN berinisial MM di Kabupaten Sinjai, Sulawesi Selatan (Sulsel) diduga melakukan pelecehan seksual terhadap pegawai honorer perempuan inisial M. https://t.co/M67YhOe3AW";2;0;0;1;in;69183155;1696831124025049335;detikcom;https://twitter.com/detikcom/status/1696831124025049335
Wed Aug 23 18:57:00 +0000 2023;1694423509785567443;"Lembaga Bantuan Hukum (LBH) Makassar melaporkan oknum polisi terduga pelaku pelecehan seksual terhadap tahanan perempuan di Mapolda Sulawesi Selatan. Laporan itu dilakukan agar terduga pelaku diproses pidana.  #PelecehanSeksual #Makassar   https://t.co/HRW55QAIdu";0;0;0;0;in;902837643024539651;1694423509785567443;medcom_id;https://twitter.com/medcom_id/status/1694423509785567443
Wed Aug 23 06:57:47 +0000 2023;1694242514591769032;"Lembaga Bantuan Hukum (LBH) Makassar melaporkan oknum polisi terduga pelaku pelecehan seksual terhadap tahanan perempuan di Mapolda Sulawesi Selatan. Laporan itu dilakukan agar terduga pelaku diproses pidana.  #PelecehanSeksual #Makassar  https://t.co/HRW55QBg32";0;0;0;0;in;902837643024539651;1694242514591769032;medcom_id;https://twitter.com/medcom_id/status/1694242514591769032
Mon Aug 21 10:25:54 +0000 2023;1693570114007052630;"Anggota polisi, Briptu S, diduga melakukan tindakan pelecehan seksual terhadap seorang tahanan perempuan di sel Direktorat Tahanan dan Barang Bukti (Dittahti) Polda Sulawesi Selatan. Tahanan tersebut diduga dipaksa melakukan oral seks oleh penjaga tahanan tersebut. https://t.co/BLSjLyqa4Y";0;1;0;0;in;1539644235024334849;1693570114007052630;spills_media;https://twitter.com/spills_media/status/1693570114007052630
Fri Aug 18 08:44:28 +0000 2023;1692457421460078703;"Masuk bui malah jadi makanan polisi🗿  Seorang tahanan wanita inisial FMB diduga mengalami pelecehan seksual oleh oknum polisi berinisial Briptu S di Makassar, Sulawesi Selatan. Dugaan pelecehan seksual itu terjadi di dalam sel Mapolda Sulsel pada akhir Juli 2023. https://t.co/68rwHCmaem";0;0;0;2;in;1621390110947434498;1692457421460078703;genvoiceid;https://twitter.com/genvoiceid/status/1692457421460078703
Thu Aug 17 13:30:00 +0000 2023;1692166891102437413;"Oknum polisi berinisial Briptu S diamankan anggota (Propam) Polda Sulawesi Selatan. Dia diperiksa atas dugaan pelecehan seksual terhadap seorang tahanan perempuan di Rumah Tahanan Direktorat Tahti Polda Sulsel. BZK  #iNews #News #OknumPolisi #Pelecehan #PelecehanSeksual #Rutan https://t.co/B2Hwf1pG4G";0;0;0;0;in;132078023;1692166891102437413;officialinews_;https://twitter.com/officialinews_/status/1692166891102437413
Thu Aug 17 05:00:41 +0000 2023;1692038719153271009;"Briptu S, polisi yang bertugas di Direktorat Perawatan Tahanan dan Barang Bukti Polda Sulawesi Selatan, ternyata sering melakukan pelecehan seksual ke tahanan perempuan. Korban selama ini tidak bicara karena takut. #newsupdate #update #news #oneliner https://t.co/gwX2grbKEc https://t.co/jghOsqLauU";135;262;539;1236;in;759692754985242625;1692038719153271009;kumparan;https://twitter.com/kumparan/status/1692038719153271009
Wed Aug 16 09:00:17 +0000 2023;1691736625297215574;"Oknum polisi berinisial Briptu S di Makassar, Sulawesi Selatan (Sulsel) diduga melecehkan tahanan wanita inisial FMB. Dugaan pelecehan seksual itu terjadi di dalam sel Mapolda Sulsel.  Peristiwa ini diketahui terjadi sekitar akhir Juli 2023 di tahanan perempuan lantai dua … https://t.co/QCaKz3i9vA";0;0;0;0;in;1581589288122142720;1691736625297215574;pojok_makassar;https://twitter.com/pojok_makassar/status/1691736625297215574
Sat Aug 05 13:21:27 +0000 2023;1687816083544453121;"Apabila Anda memenuhi kriteria berikut: 1. Perempuan 2. Usia min. 13 tahun 3. Pernah mengalami pelecehan/ kekerasan seksual (secara fisik ataupun verbal) 4. Berdomisili di Sulawesi Selatan  Saya mohon kesediaan Anda untuk mengisi kuesioner berikut: https://t.co/pm4hxwEcok https://t.co/hfB8r3JQKI";0;2;0;0;in;1210881196072165376;1687816083544453121;selenophileeaaa;https://twitter.com/selenophileeaaa/status/1687816083544453121
