created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Feb 06 12:43:50 +0000 2024;1754848372434059568;"Lelaki bernama Ramli (45) menjadi terduga pembunuhan kepala sekolah (kepsek) di Kabupaten Pangkajene dan Kepulauan (Pangkep), Provinsi Sulawesi Selatan (Sulsel). Kini, dia pun terancam hukuman 15 tahun penjara. #pembunuhan #Kepsek #KabupatenPangkep   https://t.co/LQgqXNuDa0";0;0;0;0;in;1698580133068865536;1754848372434059568;heralddotID;https://twitter.com/heralddotID/status/1754848372434059568
Mon Jan 01 04:15:27 +0000 2024;1741674470165881102;"Seorang pria tewas di tebas iparnya setelah shalat subuh.  Korban berinisial SA (50) tewas ditebas iparnya BA (60) menggunakan parang.  Peristiwa pembunuhan ini terjadi di Desa Batulohe, Kecamatan Bulukumpa, Kabupaten Bulukumba, Sulawesi Selatan,  https://t.co/cgmv9Z5O7Q";0;0;0;0;in;64635651;1741674470165881102;serambinews;https://twitter.com/serambinews/status/1741674470165881102
Fri Dec 22 10:00:16 +0000 2023;1738137368341905457;"Polisi Berhasil Tangkap Pelaku Pembunuhan Petani di Jeneponto Sulawesi Selatan https://t.co/FeU8qnNsJ0";0;1;0;0;in;71436318;1738137368341905457;KompasTV;https://twitter.com/KompasTV/status/1738137368341905457
Wed Dec 20 14:34:07 +0000 2023;1737481510326804559;"Baru Beberapa Hari Viral Kasus Baku Parang, Kini Kembali Terjadi Pembunuhan: Baru beberapa hari viral kasus pemarangan, kini warga Kabupaten Jeneponto,Sulawesi Selatan, kembali digegerkan… https://t.co/bxkcRxHDzo #News #BakuParang #BaruBeberapaHari #ViralKasus #KiniKembali";0;0;0;0;in;123757780;1737481510326804559;terkinidotid;https://twitter.com/terkinidotid/status/1737481510326804559
Wed Dec 13 05:03:00 +0000 2023;1734801067760873897;"9 Hal Tentang Si Black Bunuh Bos Roti Maros dan Kini Terancam Hukuman Mati  Kasus pembunuhan ayah dan anak di Maros, Sulawesi Selatan diungkap tuntas polisi. Berikut 9 hal tentang kasus ini.. &gt &gt  https://t.co/TwlOl6ud2c @detiksulsel";0;0;0;1;in;69183155;1734801067760873897;detikcom;https://twitter.com/detikcom/status/1734801067760873897
Sun Dec 10 15:36:11 +0000 2023;1733873249514340688;"Pelaku Pembunuhan Sadis Ayah-Anak di Maros Dihadiahi Timah Panas: Polisi berhasil menangkap Andi alias Black (20), pelaku pembunuhan sadis ayah-anak di Kabupaten Maros, Sulawesi Selatan (Sulsel).. https://t.co/VelwPhWPrq #News #pembunuhansadisdimaros #pelakupembunuhandimaros";0;0;0;0;in;123757780;1733873249514340688;terkinidotid;https://twitter.com/terkinidotid/status/1733873249514340688
Thu Dec 07 12:27:10 +0000 2023;1732738519863566549;"Kronologi Pembunuhan Ayah dan Anak di Maros Sulawesi Selatan: Motif Masih Gelap, Polisi Buru Pelaku https://t.co/cQ8WEBqjes";0;0;0;2;in;71436318;1732738519863566549;KompasTV;https://twitter.com/KompasTV/status/1732738519863566549
Thu Dec 07 10:16:43 +0000 2023;1732705690295374127;"Pelaku pembunuhan terhadap ayah dan anak di Kabupaten Maros, Sulawesi Selatan belum tertangkap.  https://t.co/t6NT9BwMmF";0;0;0;0;in;1698580133068865536;1732705690295374127;heralddotID;https://twitter.com/heralddotID/status/1732705690295374127
Thu Dec 07 06:36:16 +0000 2023;1732650213922451838;"Ayah dan anak ditemukan tewas bersimbah darah di dalam ruko di Maros, Sulawesi Selatan. Polisi kini tengah memburu pelaku. #maros #ayahanak #pembunuhan #sadis #perampokan #sulsel #detikSulsel https://t.co/Qm8JgF7KmR";0;0;0;3;in;1476525140141752321;1732650213922451838;detiksulsel;https://twitter.com/detiksulsel/status/1732650213922451838
Thu Dec 07 06:00:24 +0000 2023;1732641185880314152;"Ada juga femisida budaya, yaitu pembunuhan terhadap perempuan demi menjaga kehormatan keluarga atau komunitas. Kasus ini pernah terjadi pada 2020 di Bantaeng, Sulawesi Selatan di mana seorang ayah memerintahkan sekelompok orang untuk menganiaya putri kandungnya hingga tewas. [4] https://t.co/jf6bQSlxrw";0;1;0;0;in;75077164;1732641117462778031;voaindonesia;https://twitter.com/voaindonesia/status/1732641185880314152
Thu Dec 07 04:23:00 +0000 2023;1732616673985740990;"Kronologi Pembunuhan Sadis Ayah dan Anak di Maccopa Maros  Kronologi pembunuhan sadis ayah dan anak di Maros, Sulawesi Selatan diungkap putri bungsu korban. Simak kesaksiannya. #maros #sulsel #ayahanak   &gt &gt  https://t.co/HX99KWCBuZ @detiksulsel";0;1;0;3;in;69183155;1732616673985740990;detikcom;https://twitter.com/detikcom/status/1732616673985740990
Wed Dec 06 03:31:05 +0000 2023;1732241221907783742;"Telah Terjadi Pembunuhan Terhadap Dua Orang Warga Sanggalea, Toroada, Turikale, Maros, Sulawesi Selatan https://t.co/cidvjFkMy5";0;0;0;2;in;1629422982966960128;1732241221907783742;FaktaDetail;https://twitter.com/FaktaDetail/status/1732241221907783742
Tue Nov 21 03:24:32 +0000 2023;1726803753725210670;"Polisi menangkap Iwan Dominggus (30), pelaku pembunuhan wanita lansia berinisial SB (65) hingga memperkosa putri korban, TA (45) di Makassar, Sulawesi Selatan (Sulsel).";0;1;0;0;in;2256875702;1726803660003586175;kicaunews;https://twitter.com/kicaunews/status/1726803753725210670
Mon Nov 20 11:25:05 +0000 2023;1726562301241913385;"PELAKU pembunuhan sadis di salah satu rumah kos di Jalan Muhammad yamin di Kota Makassar, Sulawesi Selatan, berhasil diringkus Polisi.   https://t.co/bzNqzQVbXA";0;0;0;1;in;68930552;1726562301241913385;mediaindonesia;https://twitter.com/mediaindonesia/status/1726562301241913385
Mon Nov 20 07:09:55 +0000 2023;1726498087462633559;"Terkuak motif pembunuhan sadis di Jalan Muhammad Yamin Baru, Kecamatan Makassar, Kota Makassar, Sulawesi Selatan (Sulsel), Minggu, 19 November 2023 kemarin. Ternyata pelaku menolak diputuskan.  https://t.co/YI5Ad057qx";0;0;0;0;in;1698580133068865536;1726498087462633559;heralddotID;https://twitter.com/heralddotID/status/1726498087462633559
Mon Nov 20 06:53:00 +0000 2023;1726493828880937187;"Pria Bunuh Lansia-Perkosa Putri Korban di Makassar Kesal Asmaranya Kandas  Polisi mengungkap motif di balik pembunuhan sadis wanita lansia yang disertai perkosaan terhadap putri korban di Makassar, Sulawesi Selatan! Ini motifnya..  &gt &gt  https://t.co/k0Ve7buisH #detikSulsel";0;0;0;1;in;69183155;1726493828880937187;detikcom;https://twitter.com/detikcom/status/1726493828880937187
Thu Nov 16 04:23:00 +0000 2023;1725006528774570316;"Motif Oknum Satpol PP Bone Bunuh Sadis Wanita Dalam Rumah gegara Tersinggung  Polisi menangkap oknum Satpol PP Pemkab Bone, Kaharman (32) pelaku pembunuhan wanita  di Kabupaten Bone, Sulawesi Selatan.  &gt &gt  https://t.co/gWWJj8kU3H  #detikSulsel";0;0;0;3;in;69183155;1725006528774570316;detikcom;https://twitter.com/detikcom/status/1725006528774570316
