created_at;id_str;full_text;quote_count;reply_count;retweet_count;favorite_count;lang;user_id_str;conversation_id_str;username;tweet_url
Tue Jun 06 06:29:39 +0000 2023;1665969179256819712;"Kisah yg berlatar tahun 1950-2015 &amp  berlatar tempat di Sulawesi Selatan ini menceritakan mengenai pergolakan DI/TII, TNI &amp  Bissu.   Buku yg mengisahkan mengenai Mapata, mantan bissu yg menjadi korban penculikan olh suatu organisasi pencegahan penistaan agama yg diakui olh negara.";0;1;0;0;in;1315305378465243136;1665969175976882176;astaprfa;https://twitter.com/astaprfa/status/1665969179256819712
Wed Feb 15 08:34:15 +0000 2023;1625775482854580224;"Enam orang pria pelaku penculikan dan pengeroyokan terhadap seorang pemuda di dalam mobil pikap di Barombong, Kota Makassar, Sulawesi Selatan (Sulsel), ditangkap polisi. https://t.co/eGKI7cfkzQ";0;0;0;0;in;349358100;1625775482854580224;WinJGR;https://twitter.com/WinJGR/status/1625775482854580224
Wed Feb 15 08:20:00 +0000 2023;1625771896636841988;"Enam orang pria pelaku penculikan dan pengeroyokan terhadap seorang pemuda di dalam mobil pikap di Barombong, Kota Makassar, Sulawesi Selatan (Sulsel), ditangkap polisi. https://t.co/euX1rss2DS";0;0;0;4;in;69183155;1625771896636841988;detikcom;https://twitter.com/detikcom/status/1625771896636841988
Mon Jan 23 10:54:15 +0000 2023;1617475793575370754;"Polisi Tepis Isu Marak Terjadi Penculikan Anak di Sulawesi Selatan https://t.co/DggA5zjE3i";0;0;0;0;in;1369734116191608833;1617475793575370754;KuretaID;https://twitter.com/KuretaID/status/1617475793575370754
Mon Jan 23 09:39:43 +0000 2023;1617457039093149696;"Polisi Tepis Isu Marak Terjadi Penculikan Anak di Sulawesi Selatan https://t.co/cro3L3heyh";0;0;0;1;in;498414247;1617457039093149696;rioantony711;https://twitter.com/rioantony711/status/1617457039093149696
Fri Jan 20 12:53:26 +0000 2023;1616418626130804737;"Sengkang Sulawesi selatan dah gak aman lagi gegara 16 pelaku penculikan anak baru tertangkap 1 bikin orang sengkang was was kapan yg mencuri anak kecil meninggal kalau meninggal aku bakal sedekah ke orang tua yang membutuhkan kalau dihukum mati kayak negara luar di tembak";0;0;0;1;in;1452897516840624137;1616418626130804737;DEWIAST59066291;https://twitter.com/DEWIAST59066291/status/1616418626130804737
Thu Jan 19 13:52:33 +0000 2023;1616071112777162752;"Waspada, Siswa SD di Jeneponto Nyaris Diculik, Modusnya Begini: Diiming-imingi Permen dan Uang, seorang siswi Sekolah Dasar (SD) di Kabupaten Jeneponto, Sulawesi Selatan nyaris jadi korban penculikan, Kamis, 19 Januari 2023. https://t.co/bjoYAcCOu2 #Jeneponto #Jeneponto #siswasd";0;0;0;0;in;123757780;1616071112777162752;terkinidotid;https://twitter.com/terkinidotid/status/1616071112777162752
Wed Jan 18 04:22:24 +0000 2023;1615565244591665155;"Waspada Penculikan Anak, Gubernur  Sulawesi Selatan: Keluarkan Surat Edaran  https://t.co/70pr5rBe4Q";0;0;0;0;in;1448974998782156802;1615565244591665155;klikaktual;https://twitter.com/klikaktual/status/1615565244591665155
Tue Jan 17 10:00:04 +0000 2023;1615287831269871622;"Penculikan dan Pembunuhan Anak di Makassar, Pelaku Pelajari Situs Jual Organ Manusia Sejak 3 SMP: Kasus penculikan dan pembunuhan Muhammad Fadli Sadewa (11) di Kota Makassar, Sulawesi Selatan, terungkap… https://t.co/Wn4dD5nvFh #Makassar #PenculikandanpembunuhananakdiMakassar";0;0;1;0;in;123757780;1615287831269871622;terkinidotid;https://twitter.com/terkinidotid/status/1615287831269871622
Sat Jan 14 06:43:39 +0000 2023;1614151238823837696;"Fakta baru terungkap dari dua tersangka pelaku penculikan dan pembunuhan anak di kota Makassar, Sulawesi Selatan. Salah satu tersangka diketahui bukan anak di bawah umur, melainkan sudah berusia 18 tahun. Kini tersangka MF terancam hukuman mati. #MetroSiang https://t.co/5DAjgvlr1m";0;0;0;7;in;57261519;1614151238823837696;Metro_TV;https://twitter.com/Metro_TV/status/1614151238823837696
Sat Jan 14 02:41:38 +0000 2023;1614090332668563456;"Kementerian Komunikasi dan Informatika (Kemenkominfo) telah memblokir sebanyak tujuh laman (website) yang terkait dengan jual beli organ tubuh. Penutupan situs web tersebut merupakan buntut dari kasus penculikan dan pembunuhan bocah berusia 11 tahun di Makassar, Sulawesi Selatan.";0;1;0;0;in;58880688;1614090161402572800;pikiran_rakyat;https://twitter.com/pikiran_rakyat/status/1614090332668563456
Fri Jan 13 04:30:30 +0000 2023;1613755341749067776;"Usai kasus penculikan dan pembunuhan bocah berusia 11 tahun di Makassar, Sulawesi Selatan, polisi hingga kini belum menemukan kaitan kasus penculikan dan pembunuhan dengan jaringan perdagangan organ manusia. Polisi menyebut situs perdangan manusia tersebut fiktif. https://t.co/jXXRcsNZRw";0;0;0;6;in;71436318;1613755341749067776;KompasTV;https://twitter.com/KompasTV/status/1613755341749067776
Thu Jan 12 15:00:33 +0000 2023;1613551512814223362;"Warga hancurkan rumah pelaku penculikan dan pembunuh bocah 11 tahun di perumahan Makassar, Sulawesi Selatan. BEL  #MNCTV #News #LintasiNews #Warga #hancurkan #rumah #pelakupembunhan #bocah #Makassar #Sulsel https://t.co/iKkLKnzKFp";0;0;0;2;in;61377303;1613551512814223362;Lintas_MNCTV;https://twitter.com/Lintas_MNCTV/status/1613551512814223362
Thu Jan 12 12:33:32 +0000 2023;1613514513126666243;"Heboh kasus penculikan disertai pembunuhan yang dilakukan dua orang remaja terhadap seorang anak yang terjadi di Makassar, Sulawesi Selatan (Sulsel) mendapatkan perhatian dari Komisi Perlindungan Anak Indonesia (KPAI). https://t.co/m10b4fqBas";0;0;0;2;in;1580411051061149696;1613514513126666243;welfareidonline;https://twitter.com/welfareidonline/status/1613514513126666243
Thu Jan 12 04:04:33 +0000 2023;1613386424476397569;"Dua remaja tega menculik dan membunuh bocah di Makassar, Sulawesi Selatan, untuk menjual organ dalamnya. Pelaku mengaku ingin cepat kaya. #Penculikan #Pembunuhan #Makassar #OrangDalam  https://t.co/o3cfjiU2MD";0;0;0;0;in;1430542109044477958;1613386424476397569;chatnews_id;https://twitter.com/chatnews_id/status/1613386424476397569
Thu Jan 12 03:12:00 +0000 2023;1613373198661259264;"Penyidik Polrestabes Makassar mendatangkan tim psikolog dari Kepolisian Daerah Sulawesi Selatan (Polda Sulsel), untuk memeriksa kejiawaan dua pelajar yang terlibat kasus penculikan dan pembunuhan anak umur 11 tahun.  @IDNTimesSulsel   https://t.co/WBMKlw0hpY https://t.co/MQAFsf6WTv";0;0;0;1;in;388190238;1613373198661259264;IDNTimes;https://twitter.com/IDNTimes/status/1613373198661259264
Wed Jan 11 12:10:34 +0000 2023;1613146345006587906;"Marak Berita Penculikan Agar Bisa Ju4l Org4n, Memangnya Boleh? | Kata Dokter Berita penculikan anak berusia 11 tahun oleh dua remaja laki-laki di Makassar, Sulawesi Selatan tengah menjadi perbincangan ... https://t.co/eEVky83Pxp";0;0;0;0;in;70269832;1613146345006587906;kabartvOne;https://twitter.com/kabartvOne/status/1613146345006587906
Wed Jan 11 00:45:30 +0000 2023;1612973943392014337;"@PDI_Perjuangan M Fadil Sadewa (11) menjadi korban penculikan dan pembunuhan di Makassar, Sulawesi Selatan. Dua pelaku yang masih di bawah umur nekat melakukan tindak kejahatan itu karena ingin menjual organ tubuh korban.  https://t.co/GRSLjftvEz  #Nusantara #AdadiKompas";0;1;1;0;in;255866913;1612962622151720968;hariankompas;https://twitter.com/hariankompas/status/1612973943392014337
